"study","es_id","yi","vi","target_group","format","diagnosis","type","control","region","risk_of_bias"
"hayman, 1980",362,0.47153027275484,0.150045500346369,"adults","group","cut-off score","not-cbt-based","wl","north america","some concern"
"he, 2019",363,0.431214238658431,0.0618239541130432,"adults","individual","diagnosis","cbt-based","other ctr","east asia","some concern"
"hegerl, 2010",371,0.924032755640415,0.112031112904071,"adults","group","diagnosis","cbt-based","other ctr","europe","low"
"hemanny, 2019",372,1.24247241919589,0.0960621954768764,"adults","individual","diagnosis","cbt-based","cau","other region","some concern"
"hemanny, 2019",373,1.28583465940039,0.0971937945092468,"adults","individual","diagnosis","cbt-based","cau","other region","some concern"
"hemanny, 2019",374,1.27053295282912,0.0929235394780624,"adults","individual","diagnosis","cbt-based","cau","other region","some concern"
"hemanny, 2019",375,1.31360339223407,0.0940267423851316,"adults","individual","diagnosis","cbt-based","cau","other region","some concern"
"hoifodt, 2013",379,0.523364043156444,0.0390602001270908,"adults","guided self-help","cut-off score","cbt-based","wl","europe","some concern"
"hoifodt, 2013",380,0.923559715311015,0.0418315026425211,"adults","guided self-help","cut-off score","cbt-based","wl","europe","some concern"
"horrell, 2014",388,0.509807210358558,0.0108475860120116,"adults","group","cut-off score","cbt-based","wl","europe","low"
"hsiao, 2014",390,-0.551585853640786,0.0561534368640666,"adults","group","subclinical depression","not-cbt-based","cau","east asia","low"
"jarrett, 1999",413,0.630960871859863,0.0583806476261431,"adults","individual","diagnosis","cbt-based","other ctr","north america","some concern"
"jarrett, 1999",414,0.52905289090872,0.0575417690766825,"adults","individual","diagnosis","cbt-based","other ctr","north america","some concern"
"jelinek, 2016",419,0.376217442121861,0.0679515630859091,"adults","group","diagnosis","cbt-based","other ctr","europe","some concern"
"jelinek, 2016",420,0.521603590758463,0.069068132756559,"adults","group","diagnosis","cbt-based","other ctr","europe","some concern"
"johansson, 2012a",425,1.11114920362831,0.0503018966355087,"adults","guided self-help","diagnosis","not-cbt-based","other ctr","europe","low"
"johansson, 2012a",426,0.849254522871652,0.0474643482531818,"adults","guided self-help","diagnosis","not-cbt-based","other ctr","europe","low"
"johansson, 2012a",427,0.936806809469006,0.0483285894001376,"adults","guided self-help","diagnosis","not-cbt-based","other ctr","europe","low"
"johansson, 2012b",434,0.559052328114464,0.0572395893808061,"adults","guided self-help","diagnosis","cbt-based","other ctr","europe","some concern"
"johansson, 2012b",435,0.569112985074952,0.0573190044715205,"adults","guided self-help","diagnosis","cbt-based","other ctr","europe","some concern"
